primary_label,descriptor,n,median,q1,q3
0,MolWt,347,361.3970000000001,247.832,482.24450000000036
0,MolLogP,347,2.0137,-0.04379999999999825,3.818600000000002
0,TPSA,347,76.1,44.195,131.26
0,HBD,347,2.0,1.0,4.0
0,HBA,347,4.0,3.0,8.0
0,RotatableBonds,347,5.0,3.0,9.0
0,RingCount,347,3.0,1.0,4.0
0,AromaticRingCount,347,1.0,0.0,2.0
0,FractionCSP3,347,0.5,0.3267251239039267,0.6735953701470943
0,HeavyAtomCount,347,25.0,17.5,34.0
0,HeteroatomCount,347,6.0,4.0,11.0
0,FormalCharge,347,0.0,0.0,0.0
0,MolMR,347,94.35700000000004,66.95875000000004,128.00595000000004
1,MolWt,204,333.32650000000007,255.649,445.0447500000002
1,MolLogP,204,3.225700000000001,1.539525,4.367690000000003
1,TPSA,204,74.5,49.33,104.655
1,HBD,204,2.0,1.0,2.0
1,HBA,204,4.0,3.0,6.0
1,RotatableBonds,204,4.0,2.0,7.0
1,RingCount,204,3.0,2.0,4.0
1,AromaticRingCount,204,2.0,1.0,3.0
1,FractionCSP3,204,0.3060200668896321,0.15,0.4458333333333333
1,HeavyAtomCount,204,23.0,18.0,31.0
1,HeteroatomCount,204,7.0,4.0,9.0
1,FormalCharge,204,0.0,0.0,0.0
1,MolMR,204,92.73215000000002,66.34062500000002,118.18067500000005
